0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
1360	1392	18	3	31	140	132	26	29	2	2	21	7	7	102	34	33	25	21	13	9	3	34	35	45	47	81
1298	1484	18	3	33	186	165	28	39	3	3	24	8	8	118	41	41	27	23	14	10	4	56	38	49	52	108
2156	1876	18	4	45	188	191	39	41	4	4	32	11	11	132	44	44	32	32	20	14	5	53	51	66	70	122
1083	1454	19	3	33	138	118	28	29	3	3	22	8	8	97	34	34	25	23	14	10	4	33	37	47	50	83
1488	1427	19	3	32	154	151	27	34	3	3	22	8	8	108	36	35	26	22	14	10	3	43	36	46	49	92
1456	1385	19	3	31	181	164	26	38	3	3	23	7	7	117	41	41	28	21	13	9	3	50	35	44	47	97
1808	1876	19	4	46	131	101	40	29	4	4	30	11	10	98	35	35	29	32	19	14	5	23	51	66	70	93
1780	1832	19	4	45	162	161	39	36	4	4	30	10	10	122	41	40	30	31	18	14	5	42	50	64	68	109
1101	1346	20	3	29	105	80	24	22	2	2	20	7	7	83	28	28	23	20	13	9	3	17	33	43	45	62
1888	1750	20	4	42	130	130	36	29	4	4	29	10	10	108	35	36	29	29	18	13	4	29	47	60	64	93
1683	1520	20	3	35	172	151	30	36	3	3	24	9	9	112	37	37	28	24	15	11	4	45	39	50	53	98
1333	1454	20	3	32	149	125	28	31	3	2	22	8	8	99	33	33	26	23	14	10	4	35	37	47	50	85
1817	1627	20	3	38	153	137	33	32	3	3	25	10	9	106	36	36	28	27	16	11	4	37	43	55	58	95
1235	1408	20	3	31	95	50	26	21	2	2	19	8	8	71	26	26	22	21	14	9	3	10	36	45	48	59
994	1192	21	2	25	92	77	20	19	2	2	17	6	6	79	27	26	21	17	11	7	3	18	28	36	38	56
1273	1313	21	3	28	139	138	24	29	2	2	20	7	7	101	33	32	24	20	12	9	3	38	32	41	44	82
2089	1789	21	4	43	183	195	37	40	4	4	31	10	10	132	44	44	32	30	19	13	4	52	49	62	66	118
1340	1522	21	4	34	136	143	29	28	3	3	24	9	9	106	34	34	25	24	15	10	4	37	39	50	53	90
1317	1536	21	3	36	183	167	30	38	3	3	25	9	9	121	44	43	28	25	15	11	4	55	39	51	54	109
1204	1388	22	2	31	75	7	26	17	3	3	22	8	8	71	25	25	23	22	13	9	3	4	35	45	47	51
1487	1519	22	3	35	198	161	30	42	3	3	25	8	8	120	42	41	29	24	15	11	4	53	39	50	53	106
1114	1302	22	3	27	115	102	23	24	2	2	18	7	7	85	28	28	23	19	13	8	3	25	32	41	43	68
1242	1334	22	3	29	108	61	25	23	2	2	19	7	7	78	29	29	23	20	12	9	3	16	33	42	45	60
976	1283	22	3	27	107	89	23	22	2	2	18	7	7	83	28	28	22	19	12	8	3	20	31	40	42	63
1181	1329	22	3	29	154	133	24	32	2	2	21	7	7	104	35	34	26	20	12	9	3	38	33	42	44	82
1605	1476	23	3	33	161	151	28	34	3	3	24	8	8	112	37	37	27	23	14	10	4	40	38	48	51	92
1640	1755	23	3	42	167	184	36	37	4	4	31	10	10	128	43	43	32	29	18	13	4	46	47	61	64	110
1085	1202	23	2	25	124	91	21	26	2	2	18	6	6	86	31	31	24	18	11	8	3	24	28	36	39	62
1312	1352	23	3	30	147	110	25	31	2	2	20	7	7	94	34	34	25	21	13	9	3	33	33	43	46	78
1377	1570	23	3	36	183	165	31	38	3	3	26	9	9	117	40	41	29	25	16	11	4	52	41	53	56	107
1499	1880	24	4	45	142	139	39	31	4	4	29	12	11	108	36	35	27	32	20	14	5	35	51	66	70	105
1137	1399	24	3	31	155	140	26	33	3	2	21	7	7	104	34	34	26	21	14	9	3	39	35	45	48	87
1128	1313	24	3	28	122	99	24	26	2	2	19	7	7	90	31	31	23	20	12	9	3	26	32	41	44	70
1233	1318	24	3	29	126	104	24	27	2	2	20	7	7	92	32	32	24	20	12	9	3	28	32	41	44	71
1318	1228	24	2	25	108	81	21	23	2	2	17	6	6	80	28	28	23	18	11	8	3	19	29	37	40	58
1087	1246	25	2	26	104	76	22	22	2	2	18	7	7	80	29	28	22	18	11	8	3	20	30	38	41	60
1003	1249	25	2	27	114	94	22	24	2	2	19	6	6	89	31	30	23	19	11	8	3	23	30	38	41	64
1600	1506	25	3	34	165	149	29	35	3	3	24	8	8	112	38	38	28	24	15	10	4	43	39	50	53	95
2001	1815	25	4	43	219	192	37	46	4	4	30	11	11	132	51	50	30	30	19	13	5	73	49	63	67	139
1968	1861	25	4	45	172	163	39	38	4	4	30	11	11	119	41	40	30	31	19	14	5	47	51	65	69	116
1813	1967	25	5	48	148	167	42	33	4	4	33	11	11	123	39	38	30	34	20	15	5	39	54	69	74	113
1760	1681	25	3	40	148	133	35	33	3	3	28	10	10	109	39	39	29	28	16	12	4	35	44	57	61	95
2077	1824	25	4	44	165	152	38	36	4	4	28	11	11	113	38	39	29	31	19	13	5	44	49	63	67	111
1975	1496	25	3	33	135	131	28	28	3	3	23	8	8	102	33	34	25	23	15	10	4	32	38	49	52	84
1442	1696	26	4	40	120	101	35	26	3	3	26	10	10	96	33	33	27	28	17	12	4	24	45	58	61	86
1200	1326	26	2	29	73	20	24	16	2	2	20	8	8	70	25	24	22	20	13	9	3	5	33	42	44	49
1775	1450	26	3	32	172	163	27	36	3	3	23	8	8	115	38	38	27	23	14	10	4	50	37	47	50	100
1324	1682	26	3	40	93	32	34	20	3	3	26	10	10	77	29	28	25	28	17	12	4	9	45	57	61	70
1619	1840	26	4	45	141	125	39	31	4	4	29	11	10	108	37	37	29	31	18	14	5	32	50	64	68	100
1336	1252	26	3	26	115	80	22	24	2	2	17	7	7	79	29	29	22	18	11	8	3	22	30	38	41	63
1963	1945	26	4	48	162	171	41	36	4	4	33	11	11	123	39	39	31	33	20	14	5	42	54	69	73	115
1784	1849	26	4	45	140	124	39	31	4	4	29	11	11	106	37	37	29	32	19	14	5	31	50	65	69	100
1210	1396	26	3	31	151	123	27	32	3	3	22	7	7	103	37	37	27	22	13	10	3	33	35	45	48	80
2740	2060	26	4	51	249	191	45	55	5	5	36	12	12	144	71	70	34	36	22	16	5	86	58	74	78	164
1817	1614	26	3	38	179	161	32	38	3	3	26	9	9	118	41	41	29	26	16	11	4	46	42	54	58	104
2072	1873	26	4	46	148	129	40	32	4	4	29	11	11	106	37	37	29	32	19	14	5	33	51	65	70	103
1543	1432	26	3	32	174	154	27	37	3	3	23	8	8	111	39	39	28	22	14	10	3	47	36	46	49	96
2069	1920	26	4	47	167	220	41	37	5	5	34	11	11	143	44	44	32	33	20	14	5	51	53	68	72	123
1296	1197	27	2	25	89	50	21	19	2	2	16	6	6	70	25	25	20	17	11	8	3	13	28	36	38	51
1371	1646	27	3	38	141	142	33	31	3	3	26	9	10	108	35	35	27	27	17	12	4	36	43	56	59	95
1181	1214	27	2	25	96	59	21	20	2	2	17	5	5	77	27	27	22	18	11	8	3	13	29	37	39	52
2193	1858	27	4	44	174	208	38	38	4	4	31	11	11	134	41	41	29	31	20	13	5	57	51	65	69	126
1364	1268	27	3	27	135	98	23	28	2	2	19	6	6	89	33	33	24	19	11	8	3	28	30	39	42	70
1235	1264	27	3	27	116	84	22	24	2	2	18	7	7	81	30	29	22	19	12	8	3	23	30	39	41	64
1507	1487	27	3	34	145	130	29	30	3	3	23	8	8	102	34	34	26	23	15	10	4	33	38	49	52	85
1276	1360	27	3	30	115	76	26	25	2	3	21	7	7	86	32	32	26	21	13	9	3	19	34	43	46	65
1720	1633	27	3	39	134	120	33	30	3	3	26	9	9	104	36	36	27	27	16	12	4	31	43	55	59	89
1420	1528	28	3	35	165	155	30	35	3	3	25	8	8	114	39	38	29	24	15	11	4	40	39	51	54	94
1340	1536	28	3	35	140	139	30	31	3	3	25	9	9	109	37	36	28	25	15	11	4	35	40	51	54	89
1156	1241	28	2	26	119	87	22	25	2	2	18	6	6	86	31	31	23	19	11	8	3	23	30	38	40	63
1307	1385	28	3	30	123	96	25	26	2	2	20	8	7	86	30	30	24	21	14	9	3	24	35	44	47	71
1714	1557	28	3	36	196	180	31	41	3	3	26	8	8	126	44	44	29	25	15	11	4	57	40	52	55	112
1266	1025	28	2	19	94	75	15	20	1	1	13	5	5	72	26	26	20	13	9	6	2	16	22	29	30	46
1523	1490	28	3	34	168	165	29	35	3	3	24	9	8	116	38	38	27	24	14	10	4	50	38	49	52	102
1892	1571	28	3	36	147	147	31	32	3	3	26	9	9	112	38	37	28	25	16	11	4	37	41	53	56	92
1395	1453	28	3	33	168	156	28	35	3	3	23	8	8	113	38	38	27	23	14	10	4	46	37	47	50	96
1374	1612	28	3	38	81	15	32	18	3	3	25	10	10	70	27	27	24	26	16	11	4	5	42	54	58	62
1341	1436	28	3	32	135	114	27	28	3	3	22	7	8	97	34	34	26	22	14	10	3	28	36	47	49	78
1400	1805	28	4	43	116	98	37	26	4	4	28	11	11	95	33	32	26	30	19	13	5	22	49	63	66	88
1252	1339	28	3	29	134	119	24	28	2	2	20	7	7	95	32	32	24	20	13	9	3	30	33	42	45	75
1227	1270	28	2	27	122	95	23	26	2	2	19	6	6	89	32	32	24	19	12	8	3	24	31	39	42	66
1754	1416	28	3	31	155	162	26	33	3	3	23	8	8	113	37	37	26	22	14	9	4	44	35	45	48	92
1104	1195	28	2	25	89	41	20	19	2	2	16	6	6	68	25	25	21	17	11	7	3	9	28	36	38	47
1179	1356	29	3	30	116	83	25	24	2	2	19	7	7	83	30	29	23	21	13	9	3	21	33	43	46	67
1263	1321	29	3	29	135	105	24	28	2	2	20	7	7	92	33	33	24	20	12	9	3	29	32	42	44	74
1184	1349	29	3	30	129	100	25	27	2	2	20	7	7	90	32	31	24	21	13	9	3	27	33	43	45	73
1706	1731	29	4	41	132	127	35	29	4	4	29	10	9	107	36	36	29	29	18	12	4	28	46	59	63	91
1635	1641	29	3	39	122	98	33	27	3	3	26	9	9	95	33	33	27	27	16	12	4	23	43	56	59	82
993	1167	29	2	24	109	80	20	23	2	2	17	6	6	82	29	29	23	17	10	7	3	21	27	35	37	57
1314	1545	29	3	34	124	102	29	26	3	3	22	9	9	86	30	29	24	24	16	10	4	23	40	51	54	78
1649	1590	29	3	37	134	118	31	29	3	3	26	9	9	100	35	35	28	26	16	11	4	28	42	53	57	84
1431	1457	29	3	33	157	137	28	33	3	3	22	8	8	106	36	36	26	23	14	10	4	40	37	47	50	90
1819	1875	29	4	46	122	100	40	27	4	4	30	11	11	100	34	34	28	32	19	14	5	23	51	66	70	93
1498	1533	29	3	35	94	66	30	21	3	3	24	9	9	86	30	30	25	25	15	11	4	15	40	51	54	69
1239	1403	29	3	31	130	112	26	27	2	3	22	8	8	96	33	33	26	22	13	9	3	28	35	45	48	76
1635	1760	29	4	42	125	95	36	28	4	4	28	10	10	95	34	34	28	29	18	13	4	22	47	61	64	86
2102	1802	29	4	44	131	98	38	29	4	4	30	10	10	101	36	36	30	31	18	13	5	23	49	63	66	89
2204	1868	29	4	46	159	176	39	35	4	4	31	11	11	125	40	40	29	32	19	14	5	47	51	65	69	116
1667	1766	30	4	42	133	121	36	29	4	4	28	10	10	102	34	34	28	29	18	13	5	28	47	61	65	93
1161	1296	30	2	28	84	29	23	18	2	2	17	7	7	66	24	24	21	19	12	8	3	7	32	40	43	50
1440	1387	30	3	31	151	122	26	32	3	3	22	7	7	101	36	36	27	22	13	9	3	32	35	44	47	79
1136	1294	30	2	28	85	43	23	18	2	2	19	7	7	72	26	25	22	19	12	8	3	10	32	40	43	53
1421	1596	30	3	37	111	74	32	25	3	3	24	10	9	86	31	31	26	26	16	11	4	18	42	54	57	75
1804	1786	30	4	42	140	136	37	31	4	4	29	10	11	107	35	35	29	30	19	13	5	32	48	62	66	98
1113	1113	30	2	22	101	69	18	21	2	2	15	5	4	74	27	27	21	15	10	7	3	14	25	32	34	48
1582	1759	30	4	42	133	117	36	29	4	4	28	10	10	101	36	35	28	29	18	13	4	27	47	61	64	92
1598	1704	30	3	41	94	34	35	21	3	3	27	10	11	78	30	30	26	29	17	12	4	9	45	58	62	71
1253	1192	30	2	24	97	92	20	20	2	2	17	6	6	81	27	27	21	17	11	7	3	20	28	36	38	58
1131	1167	30	2	24	112	70	20	24	2	2	16	5	5	78	28	28	22	17	10	7	3	18	27	35	37	54
1336	1497	30	3	34	108	75	29	24	3	3	24	8	8	86	31	31	26	24	15	10	4	17	38	49	52	69
1285	1484	30	3	34	102	67	29	23	3	3	23	8	8	85	30	30	25	24	14	10	4	16	38	49	52	67
1718	1905	30	4	46	141	128	40	31	4	4	31	11	11	109	36	36	30	32	20	14	5	29	52	67	71	101
2134	2152	30	4	54	188	214	47	41	6	5	38	12	12	143	45	45	34	38	23	16	5	52	61	78	83	134
1524	1739	30	3	42	135	86	36	30	4	4	29	10	9	95	37	36	30	29	17	13	4	21	47	60	63	84
1647	1650	30	3	39	118	91	33	26	3	3	26	9	9	93	33	33	28	27	16	12	4	21	44	56	59	80
1359	1434	30	3	32	129	117	27	27	3	2	22	8	8	98	32	32	25	22	14	10	4	29	36	46	49	78
1538	1838	30	4	44	138	126	38	30	4	4	30	10	11	104	36	36	29	31	19	13	5	28	50	64	68	96
1190	1349	31	3	29	112	72	25	24	2	2	19	7	7	79	29	28	23	20	13	9	3	17	33	42	45	63
1452	1281	31	2	27	118	93	23	25	2	2	19	7	7	86	31	31	24	19	12	8	3	23	31	40	42	65
1437	1501	31	3	34	87	44	29	19	3	3	24	8	8	78	28	28	24	24	15	10	4	8	39	49	52	61
1411	1611	31	3	38	145	130	33	32	3	3	27	9	9	110	40	40	29	27	15	12	4	33	42	54	57	91
1273	1378	31	3	31	84	44	26	18	2	2	21	8	8	78	27	27	23	21	13	9	3	11	34	44	47	58
1298	1363	31	3	30	107	50	26	23	2	2	19	7	7	76	28	28	23	21	12	9	3	14	34	43	46	60
2508	2168	31	5	55	181	191	48	40	5	5	38	12	12	134	46	46	35	38	23	17	6	46	61	79	83	129
1755	1750	31	4	42	168	185	36	37	4	4	29	10	10	129	43	42	29	29	17	13	5	51	47	60	64	115
1343	1287	31	2	28	147	103	23	31	2	2	19	6	6	94	35	34	25	20	12	8	3	30	31	40	43	72
1496	1711	31	4	41	132	109	35	29	4	3	27	9	9	101	35	35	28	29	17	12	4	26	45	59	62	88
2898	2432	31	5	61	205	210	54	45	6	6	40	15	15	138	43	43	32	43	28	19	7	61	70	90	96	156
1530	1449	31	3	33	164	121	28	34	3	3	23	8	8	101	37	37	27	23	14	10	3	36	37	47	50	86
2556	2379	31	5	60	186	187	53	41	5	5	38	15	14	129	40	40	32	42	26	18	7	49	68	88	93	142
1298	1488	31	3	34	84	22	29	18	3	3	22	9	9	70	27	26	23	24	14	10	3	7	38	49	52	58
1901	1728	31	4	41	146	158	35	32	3	3	27	11	10	114	36	35	27	28	18	12	4	42	46	59	63	104
1123	1194	31	2	25	99	61	21	21	2	2	17	6	6	77	28	27	21	17	11	8	3	15	28	36	38	53
1768	1592	31	3	37	178	139	32	37	3	3	25	9	9	112	41	41	29	26	15	11	4	43	41	53	57	99
1639	1762	31	4	42	131	116	36	29	4	4	29	10	10	103	35	35	29	29	18	13	4	26	47	61	64	90
1345	1297	32	3	27	124	98	23	26	2	2	19	7	7	86	31	31	23	19	12	8	3	24	31	40	43	67
1499	1598	32	3	37	129	118	31	28	3	3	25	9	9	99	34	34	27	26	16	11	4	28	42	54	57	85
1563	1503	32	3	34	159	149	29	33	3	3	23	8	8	108	36	36	27	24	15	10	4	41	38	49	53	93
1295	1552	32	3	36	112	60	31	25	3	3	24	9	9	82	32	31	27	25	15	11	3	15	40	52	55	69
1553	1503	32	3	34	106	65	29	23	3	3	22	9	9	82	30	30	25	24	14	10	4	17	39	50	53	69
1568	1582	32	3	36	101	74	31	22	3	3	25	9	9	87	30	31	26	26	16	11	4	16	41	53	56	72
1320	1443	32	3	32	105	74	27	23	2	2	21	8	8	82	30	29	24	23	14	10	4	18	37	47	50	68
1217	1208	32	2	25	107	77	21	22	2	2	17	6	6	80	28	28	22	18	11	8	3	19	29	37	39	58
1240	1334	32	3	29	111	81	24	23	2	2	20	7	7	86	29	29	24	20	13	9	3	19	33	42	45	63
1519	1743	32	4	42	125	80	36	27	4	4	28	9	9	91	34	34	28	29	17	13	4	18	47	60	64	82
972	1100	32	2	22	105	74	18	22	2	1	15	5	5	79	28	28	21	15	9	7	2	20	25	32	34	54
1554	1458	32	3	33	151	124	28	32	3	3	22	8	8	100	35	35	26	23	14	10	4	35	37	47	50	85
1379	1628	32	3	39	116	89	33	26	3	3	27	9	9	97	34	34	28	27	16	12	4	21	43	55	58	79
1674	1535	32	3	35	151	138	30	32	3	3	23	9	9	103	34	34	26	24	15	11	4	39	40	51	54	93
1877	1874	32	4	45	118	80	39	26	4	4	29	11	11	89	32	32	28	31	20	14	5	17	51	66	70	87
1491	1572	32	3	36	173	179	31	36	3	3	26	9	9	122	40	39	28	25	16	11	4	50	41	52	56	105
1077	1268	33	2	27	103	53	23	22	2	2	19	6	6	79	29	28	23	19	11	8	3	13	31	39	42	55
1796	1954	33	4	49	137	100	42	30	5	5	34	11	11	104	38	38	33	34	20	15	5	22	54	70	73	95
1718	1717	33	3	41	141	102	36	31	4	4	29	9	9	101	37	37	31	29	17	13	4	25	46	59	62	87
2326	2219	33	5	55	148	166	48	33	5	5	36	14	14	119	36	36	29	38	25	17	6	37	63	80	86	123
1485	1639	33	3	39	116	88	33	26	3	3	27	9	9	95	34	33	28	27	16	12	4	21	43	56	59	79
1490	1080	33	2	21	93	61	17	20	1	1	14	5	5	72	25	25	20	15	9	6	3	14	24	31	33	47
1103	1111	33	2	22	116	99	18	24	2	2	16	5	5	86	29	29	23	15	10	7	2	23	25	32	34	57
1423	1308	33	3	29	123	86	24	26	2	2	19	7	6	88	31	31	24	20	12	9	3	23	32	41	43	66
1894	1554	33	3	36	169	148	31	36	3	3	25	8	8	114	39	39	28	25	15	11	4	41	40	52	55	96
1803	1897	33	4	46	130	106	40	29	4	4	30	11	11	99	36	36	28	32	19	14	5	25	52	66	71	96
1590	1772	33	4	43	125	93	37	27	4	4	29	10	10	97	34	34	29	30	18	13	4	22	48	61	65	87
1797	2020	33	4	49	136	113	43	30	4	4	32	13	13	99	35	35	29	34	22	15	5	26	56	72	76	102
1208	1667	34	3	39	101	70	34	22	3	4	27	10	10	86	31	32	28	27	17	12	4	15	44	57	60	75
1623	1949	34	4	49	139	109	42	31	5	5	35	11	10	110	39	39	34	34	20	15	5	24	54	69	73	97
1146	1148	34	2	23	99	71	19	21	2	2	16	6	6	77	27	27	21	16	10	7	3	17	26	34	36	53
961	1086	34	2	21	78	44	17	16	1	1	14	5	5	67	23	23	19	15	9	6	2	10	24	31	33	43
1212	1267	34	3	27	134	125	22	28	2	2	19	6	6	98	32	32	24	19	12	8	3	33	30	39	42	74
1435	1286	34	3	27	130	113	23	27	2	2	19	7	7	93	32	32	24	19	12	8	3	30	31	40	42	72
1226	1291	34	3	28	91	78	23	19	2	2	20	8	8	85	28	28	22	20	12	8	3	18	31	40	43	61
1332	1451	34	3	33	145	130	28	30	3	3	23	8	8	105	36	36	27	23	14	10	4	34	37	47	50	84
1470	1474	34	3	33	135	138	28	28	3	3	23	8	8	103	33	33	25	23	15	10	4	33	38	48	51	84
1554	1639	34	3	39	121	94	33	27	4	3	27	9	9	97	35	35	29	27	16	12	4	21	43	56	59	80
1438	1443	34	3	32	144	140	27	30	3	3	23	8	8	105	35	35	26	22	14	10	4	36	36	47	50	86
1571	1717	34	4	40	137	141	34	30	3	3	27	10	10	105	34	34	27	28	18	12	5	32	46	59	62	95
1837	1854	34	4	44	119	95	38	26	4	4	31	11	11	96	34	34	30	31	20	13	5	19	51	65	69	88
1579	1590	34	3	37	120	113	31	26	3	3	26	9	9	98	34	34	27	26	16	11	4	27	42	53	57	83
1788	1556	34	3	36	131	128	31	29	3	3	26	8	8	106	35	35	28	25	15	11	4	28	40	52	55	83
1654	1716	34	4	41	142	132	35	31	3	3	27	10	10	108	37	37	28	29	17	12	4	35	45	59	62	97
1151	1233	34	2	26	102	87	21	21	2	2	18	7	7	82	27	27	22	18	11	8	3	20	29	38	40	60
1246	1186	35	2	25	106	78	20	22	2	2	17	6	6	81	28	28	22	17	10	8	3	20	28	36	38	58
977	1145	35	2	23	107	71	19	22	2	2	15	5	6	75	28	28	21	16	10	7	3	18	26	34	36	54
1250	1478	35	3	33	90	26	28	20	3	3	22	9	8	67	27	27	24	23	15	10	3	5	38	49	51	57
1455	1588	35	3	37	127	77	32	28	3	3	25	9	8	89	34	33	27	26	15	11	4	20	41	53	56	77
1421	1524	35	3	35	166	151	30	35	3	3	24	8	8	111	37	37	28	24	15	11	4	43	39	50	53	96
1777	1664	35	3	39	160	149	34	35	3	3	27	9	9	114	39	39	29	27	17	12	4	40	44	56	60	100
1644	1852	35	4	45	123	98	39	27	4	4	29	11	11	97	34	34	28	31	19	14	5	22	50	65	69	91
1398	1397	35	3	31	127	94	26	28	3	3	22	7	7	92	34	34	27	22	13	9	3	23	35	45	48	71
1021	1560	35	3	36	111	104	31	24	3	3	25	9	9	97	33	33	26	25	15	11	4	24	40	52	55	80
1830	1816	35	3	45	188	166	39	41	4	4	32	10	10	126	46	45	34	31	18	13	4	46	49	64	67	113
1478	1392	35	3	31	173	166	26	36	3	3	23	7	7	119	41	40	28	22	13	9	3	46	35	45	47	93
1388	1544	35	3	35	106	61	30	23	3	3	25	8	8	84	31	31	26	25	15	11	4	13	40	51	54	67
952	1078	35	2	21	88	55	17	19	1	1	14	5	5	70	25	25	20	15	9	6	2	14	24	31	33	46
1299	1401	36	3	31	161	137	27	34	3	3	23	7	7	109	38	38	27	22	13	10	3	38	35	45	48	85
1691	1322	36	3	29	138	87	25	30	2	2	19	7	7	88	34	34	25	20	12	9	3	27	32	42	44	71
1157	1207	36	2	25	98	73	21	21	2	2	17	6	6	79	27	27	22	17	11	8	3	16	28	36	39	55
1704	1788	36	4	43	109	79	37	24	4	4	29	11	11	93	33	32	27	30	18	13	4	18	48	62	66	84
1051	1276	36	3	27	97	70	22	20	2	2	18	6	6	78	27	27	22	19	12	8	3	15	31	39	42	57
1042	1237	36	2	26	119	99	22	25	2	2	19	6	6	92	31	31	24	18	11	8	3	23	29	38	40	63
1536	1715	36	4	41	124	98	35	27	4	4	28	10	9	97	35	34	28	29	17	12	4	22	46	59	62	85
1436	1506	36	3	34	193	165	29	40	3	3	25	9	8	119	43	42	29	24	15	10	4	54	39	50	53	107
1148	1199	36	2	25	118	78	21	25	2	2	18	6	6	82	30	30	24	17	11	8	3	19	28	36	38	57
1115	1331	36	3	29	113	102	24	24	2	2	20	7	8	91	31	31	23	20	12	9	3	25	33	42	45	70
1624	1584	36	3	37	105	73	32	23	3	3	25	9	9	88	31	31	25	26	15	11	4	18	41	53	56	74
1783	1726	36	4	41	127	106	35	28	4	4	28	9	9	101	35	35	28	29	17	12	4	24	46	59	63	86
1418	1530	36	3	35	99	60	30	22	3	3	24	9	9	84	30	30	26	25	15	11	4	14	40	51	54	67
1735	1677	37	3	40	110	80	34	24	4	4	28	9	9	93	33	33	29	28	17	12	4	17	45	57	61	77
1440	1433	37	3	32	142	120	27	30	3	3	22	8	8	98	35	34	26	22	14	10	3	32	36	46	49	81
1493	1361	37	3	30	124	91	25	26	2	2	20	7	7	87	31	31	24	21	13	9	3	24	34	43	46	70
1384	1375	37	3	30	120	98	25	25	2	2	21	7	7	90	31	31	24	21	13	9	3	22	34	44	47	69
1507	1747	37	4	42	146	117	36	32	4	4	28	10	10	103	37	37	29	29	18	13	4	29	47	60	64	93
1485	1407	37	3	31	90	33	27	20	3	3	22	7	7	75	28	28	24	22	14	10	3	8	35	46	48	56
1217	1388	37	3	30	153	148	26	32	3	3	22	7	7	107	36	35	26	21	14	9	3	38	35	44	47	86
1215	1420	37	3	32	138	110	27	29	3	3	23	7	7	97	34	34	28	22	14	10	3	26	36	46	49	74
1290	1339	37	3	29	137	109	24	29	2	2	20	7	7	92	32	32	25	20	13	9	3	29	33	42	45	73
1201	1465	37	3	32	103	58	28	23	3	3	22	7	8	77	29	29	25	23	15	10	3	12	38	48	51	62
1688	1795	37	4	44	127	87	38	28	4	4	29	10	10	95	35	35	29	30	18	13	5	21	48	62	66	87
1783	1733	37	4	41	127	109	36	28	4	4	28	10	10	101	35	35	29	29	17	13	4	24	46	59	63	88
1941	1740	37	4	41	142	135	36	31	4	4	28	10	10	107	36	35	28	29	18	13	4	34	47	60	63	97
1548	1534	37	3	34	98	64	29	22	3	3	23	9	8	77	28	28	24	24	16	10	4	12	40	51	54	66
1289	1404	37	3	31	113	54	26	24	3	3	21	7	7	78	30	30	25	22	13	9	3	13	35	45	48	61
1413	1679	38	3	40	98	32	34	22	4	3	27	10	10	77	30	30	27	28	17	12	4	8	45	57	61	68
1470	1643	38	3	39	127	82	33	28	4	3	27	9	9	89	34	34	29	27	17	12	4	19	44	56	59	78
1312	1832	38	4	45	124	90	39	27	4	4	30	10	10	97	35	35	30	31	19	13	5	20	50	64	68	88
1102	1248	38	3	26	102	77	22	21	2	2	17	7	7	76	27	27	21	18	12	8	3	19	30	38	41	60
1621	1556	38	3	36	110	85	31	24	3	3	25	9	9	93	32	32	26	25	15	11	4	19	40	52	55	74
2115	1797	38	4	43	125	87	37	27	4	4	29	10	10	94	34	34	29	30	18	13	4	20	49	62	66	86
1425	1565	38	3	37	113	78	31	25	3	3	25	9	9	90	33	33	26	26	15	11	4	19	41	52	55	74
1311	1465	38	3	33	145	124	28	30	3	3	22	8	8	99	34	34	26	23	14	10	4	33	37	48	51	83
1306	1557	38	3	36	112	58	31	25	3	3	25	8	8	84	32	32	27	25	15	11	4	15	40	52	55	70
